102-126	+		126-209	-		209-312	+		312-329	-		329-411	+		411-418	-		418-521	+		521-530	-		530-607	+		607-706	-		706-724	+		724-820	-		820-904	+		904-913	-		913-926	+		926-1019	-		1019-1102	+		1102-1112	-		1112-1119	+		1119-1127	-		1127-1203	+		1203-1210	-		1210-1220	*		当前所有波段涨跌幅度	#2		
建材	3.13		文教休闲	-12.11		公共交通	8.88		多元金融	-2.64		医药	2.61		化工	-1.84		商业连锁	4.0		家用电器	-4.08		水务	-0.71		家用电器	-12.52		工程机械	7.93		水务	-5.66		建材	2.18		食品饮料	-1.02		建筑	4.64		传媒娱乐	-11.62		IT设备	10.39		日用化工	5.36		水务	7.27		石油	-4.25		家居用品	4.03		造纸	0.89		文教休闲	-2.45		日用化工	-25.57		
医疗保健	3.13		船舶	-12.29		汽车类	8.87		化工	-2.78		仓储物流	2.54		化纤	-1.91		环境保护	3.89		公共交通	-4.1		汽车类	-0.8		水务	-12.52		工业机械	7.47		公共交通	-5.72		商业连锁	2.12		农林牧渔	-1.04		通用机械	4.52		证券	-11.62		航空	10.35		水务	5.2		IT设备	7.27		运输服务	-4.27		工业机械	3.97		环境保护	0.87		煤炭	-2.48		文教休闲	-25.81		
商贸代理	2.97		商业连锁	-12.39		酒店餐饮	8.79		家居用品	-2.93		医疗保健	2.45		矿物制品	-1.94		汽车类	3.85		通信设备	-4.51		工程机械	-0.82		交通设施	-12.56		航空	7.43		保险	-5.81		医药	1.97		通用机械	-1.15		化纤	4.45		运输服务	-11.8		化纤	10.27		旅游	4.57		广告包装	7.24		日用化工	-4.29		矿物制品	3.83		有色	0.86		酿酒	-2.48		房地产	-25.84		
钢铁	2.87		家居用品	-12.46		化工	7.9		广告包装	-3.06		工业机械	2.43		家居用品	-1.98		银行	3.76		保险	-4.84		农林牧渔	-0.98		食品饮料	-12.64		商业连锁	7.41		软件服务	-5.95		工程机械	1.84		证券	-1.46		证券	4.35		电气设备	-11.81		工业机械	10.24		医药	4.51		电气设备	7.11		家用电器	-4.36		医药	3.83		建材	0.85		电器仪表	-2.51		广告包装	-26.03		
电器仪表	2.64		家用电器	-12.73		家用电器	7.62		房地产	-3.36		有色	2.3		综合类	-2.06		保险	3.68		银行	-5.23		商业连锁	-0.99		医疗保健	-12.76		电气设备	7.26		综合类	-6.09		电力	1.76		传媒娱乐	-1.68		矿物制品	4.03		互联网	-11.94		通用机械	10.03		公共交通	4.41		仓储物流	6.77		工业机械	-4.43		综合类	3.72		酒店餐饮	0.85		家居用品	-2.61		化纤	-26.12		
工程机械	2.1		酒店餐饮	-12.77		传媒娱乐	7.6		通用机械	-3.37		家用电器	2.1		电气设备	-2.13		造纸	3.58		商贸代理	-5.27		化纤	-1.09		化工	-12.83		有色	7.22		造纸	-6.12		食品饮料	1.72		保险	-1.7		公共交通	3.59		工程机械	-12.07		日用化工	9.87		酒店餐饮	4.33		交通设施	6.71		水务	-4.44		工程机械	3.71		食品饮料	0.7		石油	-2.62		医药	-26.36		
纺织服饰	2.04		化工	-12.88		建材	7.37		综合类	-3.42		商贸代理	2.05		水务	-2.14		建材	3.57		建筑	-5.61		交通设施	-1.15		电气设备	-12.87		水务	7.06		IT设备	-6.47		化纤	1.7		环境保护	-1.76		化工	3.52		医疗保健	-12.32		电气设备	9.81		纺织服饰	3.96		元器件	6.49		商业连锁	-4.6		互联网	3.48		水务	0.63		建材	-2.77		供气供热	-27.24		
公共交通	1.86		酿酒	-13.06		商贸代理	7.37		旅游	-3.43		供气供热	1.96		元器件	-2.17		农林牧渔	3.28		水务	-5.68		医疗保健	-1.16		医药	-13.21		软件服务	6.89		工业机械	-7.19		农林牧渔	1.7		房地产	-1.76		房地产	3.44		电信运营	-12.49		家居用品	9.52		工程机械	3.94		酒店餐饮	6.45		仓储物流	-4.68		汽车类	3.37		文教休闲	0.61		钢铁	-2.88		家用电器	-28.7		
广告包装	1.74		广告包装	-13.11		日用化工	7.34		供气供热	-3.45		保险	1.84		电力	-2.25		通用机械	3.25		多元金融	-5.9		石油	-1.27		元器件	-13.21		房地产	6.75		多元金融	-7.39		水务	1.63		纺织服饰	-1.87		工程机械	3.38		纺织服饰	-12.66		文教休闲	9.33		食品饮料	3.93		工业机械	6.43		工程机械	-4.81		传媒娱乐	3.28		软件服务	0.46		船舶	-3.28		多元金融	-29.06		
商业连锁	1.72		IT设备	-13.13		化纤	7.24		建筑	-3.58		家居用品	1.76		传媒娱乐	-2.26		电力	3.19		元器件	-5.91		有色	-1.35		化纤	-13.31		通用机械	6.62		运输服务	-7.57		家用电器	1.47		汽车类	-1.89		电气设备	3.35		广告包装	-12.71		造纸	9.23		商业连锁	3.72		通信设备	6.19		交通设施	-4.84		造纸	3.23		石油	0.35		综合类	-3.33		公共交通	-29.1		
医药	1.7		建筑	-13.45		商业连锁	7.2		电力	-3.87		建筑	1.72		供气供热	-2.83		仓储物流	3.15		软件服务	-6.01		软件服务	-1.45		广告包装	-13.55		酿酒	6.58		化工	-8.02		工业机械	1.43		建筑	-1.92		商业连锁	3.27		仓储物流	-12.71		水务	9.15		元器件	3.71		航空	6.16		广告包装	-4.88		IT设备	3.2		运输服务	0.27		矿物制品	-3.37		运输设备	-29.41		
电力	1.42		半导体	-13.74		有色	7.12		商贸代理	-3.9		交通设施	1.63		建筑	-2.93		工业机械	3.13		综合类	-6.05		供气供热	-1.47		酒店餐饮	-14.14		公共交通	6.57		农林牧渔	-8.45		汽车类	1.4		交通设施	-1.95		水务	2.99		汽车类	-12.91		医药	9.12		汽车类	3.62		文教休闲	6.05		电气设备	-4.96		纺织服饰	3.19		互联网	0.14		环境保护	-3.47		钢铁	-29.46		
多元金融	1.35		元器件	-13.93		家居用品	6.99		传媒娱乐	-4.13		纺织服饰	1.61		医药	-3.11		商贸代理	2.85		运输设备	-6.11		元器件	-1.49		综合类	-14.16		酒店餐饮	6.2		食品饮料	-8.83		电信运营	1.11		软件服务	-2.0		农林牧渔	2.76		日用化工	-12.92		农林牧渔	8.91		家用电器	3.36		农林牧渔	5.92		传媒娱乐	-5.06		运输设备	3.18		电气设备	0.04		银行	-3.56		运输服务	-29.94		
保险	1.05		石油	-13.98		供气供热	6.97		证券	-4.18		公共交通	1.58		商贸代理	-3.12		IT设备	2.84		电器仪表	-6.13		文教休闲	-1.53		农林牧渔	-14.41		证券	6.11		电气设备	-9.11		半导体	1.07		IT设备	-2.2		电力	2.74		化工	-13.05		商业连锁	8.89		电信运营	3.35		建筑	5.88		纺织服饰	-5.12		软件服务	3.17		元器件	-0.47		证券	-3.57		汽车类	-30.6		
汽车类	0.97		电气设备	-14.02		纺织服饰	6.64		通信设备	-4.47		广告包装	1.08		证券	-3.18		证券	2.82		化纤	-6.21		证券	-1.58		房地产	-14.96		电力	6.1		纺织服饰	-9.25		电气设备	1.03		有色	-2.51		多元金融	2.55		元器件	-13.18		建材	8.74		化工	3.24		电信运营	5.81		商贸代理	-5.19		保险	3.0		汽车类	-0.49		IT设备	-3.66		纺织服饰	-30.71		
有色	0.96		有色	-14.11		造纸	6.63		互联网	-4.48		综合类	1.08		旅游	-3.31		日用化工	2.38		化工	-6.25		电力	-1.68		公共交通	-15.08		文教休闲	5.97		汽车类	-9.31		运输服务	0.95		文教休闲	-2.59		家居用品	2.34		软件服务	-13.63		传媒娱乐	8.74		化纤	3.2		商业连锁	5.46		供气供热	-5.27		文教休闲	2.97		电器仪表	-0.51		运输服务	-3.67		商业连锁	-31.57		
软件服务	0.93		工程机械	-14.12		食品饮料	6.31		电器仪表	-4.5		商业连锁	1.02		造纸	-3.36		水务	2.38		供气供热	-6.27		航空	-1.77		有色	-15.18		仓储物流	5.91		商业连锁	-10.12		商贸代理	0.92		家用电器	-2.83		工业机械	2.34		航空	-13.8		广告包装	8.69		建材	2.76		家用电器	5.14		证券	-5.66		电力	2.93		银行	-0.59		农林牧渔	-3.71		酒店餐饮	-32.04		
家居用品	0.27		运输设备	-14.22		电力	4.84		交通设施	-4.58		汽车类	0.98		运输服务	-3.45		运输设备	2.22		电气设备	-6.47		矿物制品	-1.79		环境保护	-15.22		交通设施	5.29		互联网	-10.13		矿物制品	0.47		综合类	-2.93		船舶	2.32		公共交通	-13.94		保险	8.68		运输服务	2.73		化工	5.08		半导体	-6.06		家用电器	2.9		家居用品	-0.65		商贸代理	-3.73		电气设备	-32.56		
化工	0.25		软件服务	-14.58		农林牧渔	4.42		元器件	-4.72		矿物制品	0.87		商业连锁	-3.5		交通设施	1.98		钢铁	-6.52		综合类	-1.96		工业机械	-15.26		食品饮料	5.16		有色	-10.28		酒店餐饮	0.44		旅游	-3.11		广告包装	2.31		房地产	-14.03		运输设备	8.32		船舶	2.63		工程机械	4.85		环境保护	-6.1		航空	2.9		商贸代理	-0.68		保险	-3.81		化工	-32.77		
通用机械	0.13		商贸代理	-14.69		水务	4.42		运输设备	-5.0		多元金融	0.82		银行	-3.59		半导体	1.83		通用机械	-6.52		IT设备	-2.1		造纸	-15.31		广告包装	5.02		元器件	-10.29		有色	0.43		工程机械	-3.22		医疗保健	2.22		IT设备	-14.22		交通设施	8.18		房地产	2.56		医疗保健	4.84		有色	-6.15		环境保护	2.78		交通设施	-0.87		化工	-3.83		商贸代理	-32.87		
化纤	0.01		建材	-14.76		工程机械	4.16		食品饮料	-5.02		半导体	0.76		船舶	-3.61		传媒娱乐	1.79		半导体	-6.56		传媒娱乐	-2.18		建材	-15.61		煤炭	4.96		仓储物流	-10.36		文教休闲	0.31		化工	-3.26		传媒娱乐	2.22		有色	-14.6		建筑	7.76		多元金融	2.43		有色	4.63		化纤	-6.15		石油	2.67		公共交通	-0.92		工业机械	-3.86		电器仪表	-32.93		
